,SPLITID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,RATE,TRADINGITEMID,EXCHANGEID,SPLITTYPEID,APPLIEDFLAG,SPLITTYPEID,SPLITTYPENAME
98,2610525,2017-10-16,2017-10-13,2017-10-11,,6.0,37284828,117.0,11,1,,
99,2610526,2017-10-16,2017-10-13,2017-10-11,,1.5,54616202,117.0,11,1,,
100,2611333,2017-12-01,2017-11-30,2017-11-28,,3.0,6179409,104.0,12,1,,
101,1715286,2008-06-18,2008-06-17,2008-06-13,,2.0,20903122,102.0,12,1,,
102,1715288,2008-06-18,2008-06-17,2008-06-13,,2.0,6179830,102.0,12,1,,
103,1715289,2008-06-18,2008-06-17,2008-06-13,,2.0,6179831,102.0,12,1,,
104,1071420,2006-04-27,2006-04-26,2006-04-24,,4.0,6179707,102.0,12,1,,
105,1801988,2008-10-24,2008-10-23,2008-10-21,,3.0,41623261,102.0,12,1,,
106,1801989,2008-10-24,2008-10-23,2008-10-21,,5.0,39364561,102.0,12,1,,
107,1801990,2008-10-24,2008-10-23,2008-10-21,,5.0,39861115,102.0,12,1,,
108,1742510,2008-07-24,2008-07-23,2008-07-21,,2.0,6179365,117.0,12,1,,
109,1742513,2008-07-24,2008-07-23,2008-07-21,,2.0,8662701,117.0,12,1,,
110,1742515,2008-07-24,2008-07-23,2008-07-21,,3.0,6179385,117.0,12,1,,
111,1742516,2008-07-24,2008-07-23,2008-07-21,,3.0,6179392,117.0,12,1,,
112,1742517,2008-07-24,2008-07-23,2008-07-21,,3.0,6179393,117.0,12,1,,
113,1742520,2008-07-24,2008-07-23,2008-07-21,,3.0,6179401,117.0,12,1,,
114,1742521,2008-07-24,2008-07-23,2008-07-21,,2.0,6179402,117.0,12,1,,
115,1742522,2008-07-24,2008-07-23,2008-07-21,,3.0,6179432,117.0,12,1,,
116,1742523,2008-07-24,2008-07-23,2008-07-21,,2.0,6179437,117.0,12,1,,
117,1742524,2008-07-24,2008-07-23,2008-07-21,,2.0,6179439,117.0,12,1,,
118,2590562,2016-03-15,2016-03-15,2016-03-15,,0.5,38019998,117.0,12,1,,
119,2590563,2016-03-15,2016-03-15,2016-03-15,,0.5,36869276,117.0,12,1,,
120,2631269,2020-04-28,2020-04-28,2020-04-28,,0.166666667,204565928,117.0,34,1,,
121,2618581,2018-08-08,2018-08-07,2018-08-03,,2.0,31091214,104.0,12,1,,
122,2618582,2018-08-08,2018-08-07,2018-08-03,,2.0,31091215,104.0,12,1,,
123,2618583,2018-08-08,2018-08-07,2018-08-03,,2.0,31091216,104.0,12,1,,
124,2597514,2016-09-29,2016-09-28,2016-09-26,,2.0,37821350,117.0,12,1,,
125,1916956,2010-05-05,2010-05-04,2010-04-30,,4.0,51688912,117.0,12,1,,
126,2610221,2017-10-18,2017-10-17,2017-10-13,,2.0,37802439,,33,1,,
127,2609303,2017-08-31,2017-08-30,2017-08-28,,2.0,52412536,104.0,12,1,,
128,2628916,2019-04-22,2019-04-18,,2019-04-18,1.2,538627786,810.0,12,1,,
129,2635683,2020-10-19,2020-10-16,2020-10-14,,2.0,6179439,104.0,12,1,,
130,2635574,2020-10-19,2020-10-16,2020-10-14,,2.0,6179438,102.0,33,1,,
131,2635573,2020-10-19,2020-10-16,2020-10-14,,4.0,6179389,102.0,33,1,,
132,2635572,2020-10-19,2020-10-16,2020-10-14,,4.0,6179414,102.0,33,1,,
133,2635571,2020-10-19,2020-10-16,2020-10-14,,2.0,6179424,102.0,33,1,,
134,2636661,2020-12-07,2020-12-04,2020-12-02,,4.0,6179426,117.0,33,1,,
135,2636660,2020-12-07,2020-12-04,2020-12-02,,2.0,6179423,117.0,33,1,,
136,2636659,2020-12-07,2020-12-04,2020-12-02,,2.0,6179431,117.0,33,1,,
137,2636658,2020-12-07,2020-12-04,2020-12-02,,2.0,6179402,117.0,33,1,,
138,2636979,2020-12-07,2020-12-04,2020-12-02,,2.0,27069133,,12,1,,
139,2636978,2020-12-07,2020-12-04,2020-12-02,,2.0,30252196,117.0,12,1,,
140,2636977,2020-12-07,2020-12-04,2020-12-02,,2.0,20328800,117.0,12,1,,
141,2636975,2020-12-07,2020-12-04,2020-12-02,,2.0,6179428,,12,1,,
142,2636974,2020-12-07,2020-12-04,2020-12-02,,4.0,6179412,117.0,12,1,,
143,2636973,2020-12-07,2020-12-04,2020-12-02,,2.0,6179410,,12,1,,
144,2637085,2020-12-18,2020-12-17,2020-12-14,,9.0,614229167,134.0,12,1,,
145,2637491,2021-01-21,2021-01-20,2021-01-19,,2.0,98126613,104.0,12,1,,
146,2637866,2021-03-02,2021-03-01,2021-02-26,,10.0,51688912,117.0,33,1,,
147,2638870,2021-04-14,2021-04-13,2021-04-12,,1.25,412297110,117.0,33,1,,
148,2638605,2021-05-24,,,2021-03-04,0.5,20328799,117.0,34,1,,
149,2640806,2021-06-10,2021-06-09,2021-06-07,2021-05-28,2.0,27666978,117.0,12,1,,
150,2641636,2021-07-19,2021-07-16,2021-07-14,2021-06-23,6.0,27069137,117.0,33,1,,
151,2641572,2021-08-31,2021-08-30,2021-08-27,2021-06-21,2.0,306410320,117.0,12,1,,
152,2644548,2021-12-23,2021-12-22,2021-12-20,2021-12-09,2.0,27666965,117.0,11,1,,
153,2644547,2021-12-23,2021-12-22,2021-12-20,2021-12-09,2.0,27666963,117.0,11,1,,
154,2645544,2022-03-11,2022-03-10,2022-03-08,,2.0,79112243,117.0,12,1,,
