Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
40/60 (TA ETF),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1179812.38,1143888.39,1180970.01,1143799.51,1157.630000000121,-88.87999999988824,1,1323.63,1472.97,34503.31,35750.33
40/60 (TA ETF),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1176521.68,1143145.58,1177285.95,1142669.87,764.2700000000186,-475.70999999996275,2,1418.42,1576.92,31959.38,33198.89
40/60 (TA ETF),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1182949.36,1149245.95,1183211.65,1148324.0,262.2899999998044,-921.9499999999534,1,1420.81,1571.52,32276.98,33461.96
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,3116618.89,2693476.61,3087029.12,2665089.02,-29589.77000000002,-28387.58999999985,5,1409.1,2199.19,419396.03,418235.66
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,3239358.21,2787359.63,3206052.35,2759372.34,-33305.85999999987,-27987.290000000037,5,1198.56,1972.18,448111.35,442834.91
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,3239358.21,2787359.63,3206052.35,2759372.34,-33305.85999999987,-27987.290000000037,5,1198.56,1972.18,448111.35,442834.91
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,2949905.41,2596529.4,2926595.82,2575325.47,-23309.590000000317,-21203.929999999702,257,4344.02,6763.3,349822.32,347742.47
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2972312.99,2609652.96,2967917.79,2599314.88,-4395.200000000186,-10338.080000000075,114,3199.54,4876.24,359071.37,365018.58
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,3015083.32,2641359.79,3024127.54,2637021.4,9044.220000000205,-4338.39000000013,32,2403.19,3926.49,370090.23,383460.98
100/0 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,3021765.81,2638512.81,3023227.52,2622829.06,1461.7099999999627,-15683.75,23,1904.95,3433.54,379618.53,396767.63
100/0 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,3079216.7,2683812.1,3053689.96,2653984.61,-25526.740000000224,-29827.490000000224,7,1818.12,2634.71,391681.39,396042.18
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2561314.26,2263576.51,2564216.67,2247776.61,2902.410000000149,-15799.899999999907,5,1773.08,3842.05,294649.6,313360.28
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2613863.01,2298033.84,2609054.35,2282177.92,-4808.659999999683,-15855.919999999925,3,1561.64,3529.8,312676.92,323746.83
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2696822.22,2353981.88,2671508.38,2332212.13,-25313.840000000317,-21769.75,2,1198.56,2801.91,339604.16,336092.06
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,2507619.68,2231722.55,2520483.94,2243219.83,12864.259999999776,11497.28000000026,56,3423.68,4263.63,272876.94,274223.43
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2525074.16,2239382.38,2570684.3,2269157.31,45610.139999999665,29774.930000000168,28,2599.56,4263.42,282647.73,298423.59
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,2540407.42,2251232.46,2585507.18,2274163.5,45099.76000000024,22931.040000000037,10,2080.42,3570.2,286111.63,308224.65
2-ETF (IVV/EFA),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2606996.63,2309095.3,2592881.16,2283952.38,-14115.46999999974,-25142.919999999925,2,1952.55,3569.82,294739.59,305795.92
2-ETF (IVV/EFA),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2656962.74,2359996.73,2646093.1,2339089.5,-10869.64000000013,-20907.22999999998,2,2069.22,3704.4,293720.53,303787.86
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1915330.58,1785525.97,2006932.85,1825960.41,91602.27000000002,40434.439999999944,20,3135.0,7250.42,127476.98,178546.02
